id,player,team,era,positions,pts,reb,ast,stl,blk,stl_historically_unavailable,blk_historically_unavailable,raw_composite,source_contribution,source_value,flex_score,tier,tier_label,overall_rank,spin_rank,perfect_share,playable
tom_van_arsdale_phx_1970s,Tom Van Arsdale,PHX,1970s,SF/SG,5.8,2.4,0.9,0.3,0.0,false,false,4.40824,4.408,4.758,0.35,F,avoid unless forced,7401,42,,true
marco_belinelli_gsw_2000s,Marco Belinelli,GSW,2000s,SF/SG,6.26,1.13,1.4,0.59,0.0,false,false,4.407054,4.407,4.757,0.35,F,avoid unless forced,7402,50,,true
brad_lohaus_bos_1980s,Brad Lohaus,BOS,1980s,PF,4.77,2.41,0.82,0.34,0.56,false,false,4.756149,4.756,4.756,0.0,F,avoid unless forced,7403,25,,true
semih_erden_bos_2010s,Semih Erden,BOS,2010s,C,4.1,2.9,0.5,0.4,0.6,false,false,4.75596,4.756,4.756,0.0,F,avoid unless forced,7404,52,,true
jared_jeffries_hou_2010s,Jared Jeffries,HOU,2010s,PF/SF,3.2,2.75,0.8,0.45,0.45,false,false,4.40535,4.406,4.756,0.35,F,avoid unless forced,7405,59,,true
cam_reddish_lal_2020s,Cam Reddish,LAL,2020s,SF,4.3,2.0,0.8,1.0,0.3,false,false,4.75598,4.756,4.756,0.0,F,avoid unless forced,7406,43,,true
jabari_smith_bkn_2000s,Jabari Smith,BKN,2000s,C/PF,3.7,2.5,0.8,0.6,0.3,false,false,4.40495,4.405,4.755,0.35,F,avoid unless forced,7407,48,,true
terrence_williams_bos_2010s,Terrence Williams,BOS,2010s,SF/SG,4.6,1.8,1.6,0.5,0.1,false,false,4.40117,4.401,4.751,0.35,F,avoid unless forced,7408,55,,true
ted_mcclain_phx_1970s,Ted McClain,PHX,1970s,PG/SG,4.6,1.9,1.7,0.5,0.0,false,false,4.40057,4.401,4.751,0.35,F,avoid unless forced,7409,43,,true
darius_miller_nop_2010s,Darius Miller,NOP,2010s,SF,6.03,1.69,1.38,0.42,0.22,false,false,4.748021,4.748,4.748,0.0,F,avoid unless forced,7410,58,,true
mickey_davis_mil_1970s,Mickey Davis,MIL,1970s,SF,5.17,2.83,1.05,0.37,0.09,false,false,4.746757,4.747,4.747,0.0,F,avoid unless forced,7411,37,,true
deshawn_stevenson_atl_2010s,DeShawn Stevenson,ATL,2010s,SF/SG,5.1,2.2,0.9,0.5,0.1,false,false,4.39544,4.396,4.746,0.35,F,avoid unless forced,7412,53,,true
mac_mcclung_chi_2020s,Mac McClung,CHI,2020s,PG,6.1,0.9,0.9,1.0,0.3,false,false,4.74538,4.746,4.746,0.0,F,avoid unless forced,7413,39,,true
james_bailey_phx_1980s,James Bailey,PHX,1980s,PF,4.4,3.2,0.6,0.3,0.4,false,false,4.74499,4.745,4.745,0.0,F,avoid unless forced,7414,40,,true
willie_reed_lac_2010s,Willie Reed,LAC,2010s,C,4.9,3.1,0.2,0.2,0.6,false,false,4.74395,4.744,4.744,0.0,F,avoid unless forced,7415,56,,true
wesley_matthews_lal_2020s,Wesley Matthews,LAL,2020s,SF/SG,4.8,1.6,0.9,0.7,0.3,false,false,4.39368,4.394,4.744,0.35,F,avoid unless forced,7416,47,,true
rashard_lewis_mia_2010s,Rashard Lewis,MIA,2010s,PF/SF,4.83,1.99,0.76,0.66,0.2,false,false,4.392705,4.393,4.743,0.35,F,avoid unless forced,7417,49,,true
greg_grant_phi_1990s,Greg Grant,PHI,1990s,PG,3.37,1.1,3.39,0.68,0.02,false,false,4.742423,4.743,4.743,0.0,F,avoid unless forced,7418,55,,true
dj_wilson_mil_2010s,D.J. Wilson,MIL,2010s,PF,4.29,3.31,0.79,0.31,0.27,false,false,4.742021,4.742,4.742,0.0,F,avoid unless forced,7419,55,,true
jon_leuer_mem_2010s,Jon Leuer,MEM,2010s,C/PF,4.74,2.97,0.52,0.32,0.16,false,false,4.391197,4.391,4.741,0.35,F,avoid unless forced,7420,57,,true
stacey_augmon_nop_2000s,Stacey Augmon,NOP,2000s,SF/SG,4.39,2.1,1.1,0.6,0.15,false,false,4.387772,4.388,4.738,0.35,F,avoid unless forced,7421,42,,true
antonio_blakeney_chi_2010s,Antonio Blakeney,CHI,2010s,SG,7.45,1.85,0.8,0.25,0.18,false,false,4.73702,4.737,4.737,0.0,F,avoid unless forced,7422,51,,true
john_battle_cle_1990s,John Battle,CLE,1990s,SG,7.43,0.99,1.69,0.38,0.06,false,false,4.734484,4.735,4.735,0.0,F,avoid unless forced,7423,36,,true
nando_de_colo_sas_2010s,Nando De Colo,SAS,2010s,SF/SG,3.93,1.85,1.71,0.6,0.1,false,false,4.383962,4.384,4.734,0.35,F,avoid unless forced,7424,36,,true
jay_scrubb_lac_2020s,Jay Scrubb,LAC,2020s,SG/SF,5.8,2.2,0.3,0.6,0.1,false,false,4.38297,4.383,4.733,0.35,F,avoid unless forced,7425,40,,true
johnny_furphy_ind_2020s,Johnny Furphy,IND,2020s,SF/PF,3.6,2.9,0.8,0.5,0.2,false,false,4.3826,4.383,4.733,0.35,F,avoid unless forced,7426,48,,true
aaron_holiday_ind_2010s,Aaron Holiday,IND,2010s,PG,5.9,1.3,1.7,0.4,0.3,false,false,4.73124,4.732,4.732,0.0,F,avoid unless forced,7427,42,,true
robert_smith_den_1970s,Robert Smith,DEN,1970s,PG,5.09,1.45,1.93,0.59,0.16,false,false,4.730721,4.731,4.731,0.0,F,avoid unless forced,7428,22,,true
joe_wolf_orl_1990s,Joe Wolf,ORL,1990s,C/PF,4.6,2.9,1.0,0.2,0.1,false,false,4.38101,4.381,4.731,0.35,F,avoid unless forced,7429,40,,true
bob_portman_gsw_1970s,Bob Portman,GSW,1970s,SF/SG,5.66,3.29,0.58,,,true,true,4.379575,4.38,4.73,0.35,F,avoid unless forced,7430,32,,true
eric_mobley_mem_1990s,Eric Mobley,MEM,1990s,C,4.14,3.03,0.55,0.31,0.56,false,false,4.729053,4.729,4.729,0.0,F,avoid unless forced,7431,29,,true
jim_mcilvaine_bkn_1990s,Jim McIlvaine,BKN,1990s,C,2.2,2.5,0.1,0.4,1.5,false,false,4.72824,4.728,4.728,0.0,F,avoid unless forced,7432,50,,true
anthony_morrow_okc_2010s,Anthony Morrow,OKC,2010s,SG,7.72,1.55,0.58,0.53,0.1,false,false,4.72736,4.728,4.728,0.0,F,avoid unless forced,7433,33,,true
mike_gale_por_1980s,Mike Gale,POR,1980s,PG/SG,4.3,1.1,1.7,0.9,0.1,false,false,4.37737,4.378,4.728,0.35,F,avoid unless forced,7434,38,,true
antoine_wright_bkn_2000s,Antoine Wright,BKN,2000s,SF/SG,4.57,2.31,0.94,0.42,0.23,false,false,4.377235,4.377,4.727,0.35,F,avoid unless forced,7435,49,,true
johan_petro_bkn_2010s,Johan Petro,BKN,2010s,C,3.8,3.23,0.69,0.4,0.4,false,false,4.727038,4.727,4.727,0.0,F,avoid unless forced,7436,72,,true
tracy_jackson_chi_1980s,Tracy Jackson,CHI,1980s,SG,5.71,1.97,1.07,0.64,0.1,false,false,4.726018,4.726,4.726,0.0,F,avoid unless forced,7437,45,,true
ira_newble_cle_2000s,Ira Newble,CLE,2000s,SF/SG,4.18,2.51,0.8,0.5,0.23,false,false,4.374501,4.375,4.725,0.35,F,avoid unless forced,7438,51,,true
earl_monroe_nyk_1980s,Earl Monroe,NYK,1980s,PG/SG,7.4,0.7,1.3,0.4,0.1,false,false,4.3749,4.375,4.725,0.35,F,avoid unless forced,7439,40,,true
brandon_boston_lac_2020s,Brandon Boston,LAC,2020s,SG/SF,6.1,1.7,0.8,0.4,0.2,false,false,4.37421,4.374,4.724,0.35,F,avoid unless forced,7440,41,,true
devean_george_dal_2000s,Devean George,DAL,2000s,SF,4.66,2.76,0.55,0.58,0.3,false,false,4.723155,4.723,4.723,0.0,F,avoid unless forced,7441,41,,true
dan_gadzuric_gsw_2010s,Dan Gadzuric,GSW,2010s,C/PF,2.8,3.1,0.4,0.4,0.6,false,false,4.37223,4.372,4.722,0.35,F,avoid unless forced,7442,51,,true
eric_gordon_phi_2020s,Eric Gordon,PHI,2020s,SF/SG,6.2,0.8,1.1,0.7,0.2,false,false,4.3705,4.371,4.721,0.35,F,avoid unless forced,7443,54,,true
shake_milton_lal_2020s,Shake Milton,LAL,2020s,SG,5.5,1.8,1.8,0.4,0.1,false,false,4.7196,4.72,4.72,0.0,F,avoid unless forced,7444,44,,true
kevin_s_raphin_ind_2010s,Kevin Séraphin,IND,2010s,C/PF,4.7,2.9,0.5,0.1,0.4,false,false,4.36859,4.369,4.719,0.35,F,avoid unless forced,7445,49,,true
gene_tormohlen_atl_1960s,Gene Tormohlen,ATL,1960s,C,4.42,4.13,0.96,,,true,true,4.714405,4.715,4.715,0.0,F,avoid unless forced,7446,36,,true
fred_saunders_bos_1970s,Fred Saunders,BOS,1970s,SF,5.04,2.77,1.05,0.37,0.13,false,false,4.714151,4.714,4.714,0.0,F,avoid unless forced,7447,31,,true
chris_whitney_was_1990s,Chris Whitney,WAS,1990s,PG,5.27,1.35,2.22,0.54,0.05,false,false,4.713087,4.713,4.713,0.0,F,avoid unless forced,7448,44,,true
gary_garland_den_1980s,Gary Garland,DEN,1980s,PG,4.3,1.8,1.9,0.7,0.1,false,false,4.71152,4.712,4.712,0.0,F,avoid unless forced,7449,38,,true
haywood_highsmith_phx_2020s,Haywood Highsmith,PHX,2020s,PF/SF,5.4,1.9,1.0,0.6,0.0,false,false,4.36115,4.361,4.711,0.35,F,avoid unless forced,7450,46,,true
jos_calder_n_cle_2010s,José Calderón,CLE,2010s,PG/SG,4.5,1.5,2.1,0.5,0.0,false,false,4.35993,4.36,4.71,0.35,F,avoid unless forced,7451,60,,true
carlos_delfino_det_2000s,Carlos Delfino,DET,2000s,SF/SG,4.38,2.4,0.94,0.5,0.15,false,false,4.360196,4.36,4.71,0.35,F,avoid unless forced,7452,40,,true
melvin_ely_lac_2000s,Melvin Ely,LAC,2000s,C/PF,4.14,2.9,0.39,0.2,0.51,false,false,4.360179,4.36,4.71,0.35,F,avoid unless forced,7453,54,,true
pace_mannion_bkn_1980s,Pace Mannion,BKN,1980s,SF,3.6,1.7,2.0,0.8,0.2,false,false,4.70837,4.709,4.709,0.0,F,avoid unless forced,7454,47,,true
mike_woodson_hou_1990s,Mike Woodson,HOU,1990s,SG,6.24,1.34,1.07,0.67,0.23,false,false,4.708976,4.709,4.709,0.0,F,avoid unless forced,7455,34,,true
leon_powe_cle_2010s,Leon Powe,CLE,2010s,C/PF/SF,4.41,2.94,0.04,0.38,0.14,false,false,4.007508,4.008,4.708,0.7,F,avoid unless forced,7456,64,,true
